index,Category,Amount,
156,Western Dress,721.0,
157,Set,666.0,
158,Set,496.0,
159,kurta,353.0,
160,kurta,399.0,
161,kurta,458.0,
162,Set,1115.0,
163,Ethnic Dress,845.0,
164,kurta,399.0,
165,kurta,,
166,kurta,517.0,
167,kurta,517.0,
168,kurta,599.0,
169,Top,487.0,
170,Top,487.0,
171,Set,568.0,
172,kurta,399.0,
173,kurta,295.0,
174,kurta,484.0,
175,Set,626.0,
176,Set,563.0,
177,Top,387.0,
178,Top,463.81,
179,Top,512.0,
180,Set,1112.0,
181,Set,626.0,
182,kurta,376.0,
183,Western Dress,859.0,
184,Set,597.0,
185,kurta,329.0,
186,Set,583.0,
187,Western Dress,665.0,
188,Set,582.0,
189,Set,1126.0,
190,kurta,534.0,
191,kurta,319.0,
192,kurta,368.0,
193,Set,597.0,
194,Set,654.0,
195,kurta,795.0,
196,Western Dress,744.0,
197,kurta,692.0,
198,Top,563.0,
199,Top,545.0,
200,Set,999.0,
201,Set,654.0,
202,Top,588.0,
203,kurta,497.0,
204,kurta,517.0,
205,Top,,
206,Set,1115.0,
207,Set,582.0,
208,Set,449.0,
209,kurta,375.0,
210,Set,771.0,
211,kurta,399.0,
212,kurta,0.0,
213,Set,654.0,
214,kurta,424.0,
215,Western Dress,,
216,Top,432.0,
217,Top,399.0,
218,kurta,399.0,
219,Set,597.0,
220,Top,463.0,
221,kurta,484.0,
222,kurta,635.0,
223,kurta,685.0,
224,Western Dress,725.0,
225,Top,487.0,
226,Set,1249.11,
227,Set,1058.93,
228,Set,696.0,
229,kurta,329.0,
230,kurta,517.0,
231,Set,591.0,
232,kurta,406.0,
233,Set,684.0,
234,Set,1115.0,
235,Set,999.0,
236,kurta,295.0,
237,kurta,442.0,
238,Set,563.0,
239,kurta,435.0,
240,Set,563.0,
241,kurta,399.0,
242,Top,,
243,Set,1338.0,
244,Set,1115.0,
245,kurta,399.0,
246,Set,499.0,
247,Western Dress,791.0,
248,Western Dress,725.0,
249,kurta,,
250,kurta,,
251,Set,1278.57,
252,Set,1099.0,
253,kurta,533.0,
254,kurta,696.0,
255,kurta,363.0,
256,Set,631.0,
257,Set,1115.0,
258,Set,968.0,
259,kurta,486.0,
260,Set,597.0,
261,Set,563.0,
262,Set,597.0,
263,kurta,458.0,
264,Set,1065.0,
265,Set,2130.0,
266,Set,1099.0,
267,Western Dress,721.0,
268,Set,968.0,
269,Set,563.0,
270,Set,995.54,
271,Set,,
272,Set,682.0,
273,kurta,399.0,
274,Set,626.0,
275,Set,1140.0,
276,kurta,486.0,
277,Set,597.0,
278,kurta,399.0,
279,Set,660.0,
280,kurta,459.0,
281,Set,631.0,
282,kurta,459.0,
283,Set,597.0,
284,Set,852.0,
285,kurta,353.0,
286,kurta,345.0,
287,kurta,329.0,
288,Top,518.0,
289,Top,387.0,
290,Top,339.0,
291,Western Dress,744.0,
292,Set,888.0,
293,kurta,487.0,
294,kurta,487.0,
295,Top,563.0,
296,Western Dress,859.0,
297,Set,1133.0,
298,Set,788.0,
299,Set,1463.0,
300,kurta,399.0,
301,Western Dress,744.0,
302,kurta,487.0,
303,Set,657.0,
304,Set,1133.0,
305,kurta,399.0,
306,kurta,399.0,
307,kurta,399.0,
308,Set,1233.0,
309,Western Dress,825.0,
310,Top,487.0,
311,Set,563.0,
312,kurta,399.0,
313,kurta,471.0,
314,kurta,342.0,
315,kurta,432.0,
316,kurta,399.0,
317,Set,736.0,
318,Set,1260.0,
319,kurta,399.0,
320,Set,1133.0,
321,Set,759.0,
322,kurta,475.0,
323,Western Dress,744.0,
324,Set,1902.86,
325,Western Dress,771.0,
326,Western Dress,725.0,
327,kurta,473.33,
328,Set,,
329,Set,759.0,
330,kurta,475.0,
331,Set,654.0,
332,Western Dress,791.0,
333,Western Dress,744.0,
334,kurta,376.0,
335,kurta,399.0,
336,Set,599.0,
337,kurta,782.0,
338,kurta,362.0,
339,Set,1173.0,
340,Western Dress,744.0,
341,Western Dress,725.0,
342,kurta,376.0,
343,kurta,459.0,
344,Set,654.0,
345,kurta,379.0,
346,Set,696.0,
347,Set,597.0,
348,Set,692.0,
349,Set,1999.0,
350,Set,824.0,
351,kurta,399.0,
352,kurta,737.0,
353,kurta,399.0,
354,Set,899.0,
355,kurta,368.0,
356,kurta,471.0,
357,kurta,399.0,
358,kurta,376.0,
359,kurta,544.0,
360,kurta,499.0,
361,Top,426.0,
362,kurta,399.0,
363,Set,,
364,Set,995.0,
365,kurta,499.0,
366,kurta,499.0,
367,Set,597.0,
368,kurta,562.0,
369,kurta,696.0,
370,Set,788.0,
371,kurta,399.0,
372,Set,1099.0,
373,Set,476.0,
374,Western Dress,0.0,
375,Western Dress,885.0,
376,Set,654.0,
377,Western Dress,625.0,
378,kurta,505.0,
379,kurta,563.0,
380,kurta,344.76,
381,Set,,
382,kurta,666.0,
383,kurta,399.0,
384,kurta,432.0,
385,kurta,0.0,
386,Set,1099.0,
387,kurta,353.0,
388,Western Dress,0.0,
389,Set,563.0,
390,Set,788.0,
391,Set,654.0,
392,Set,0.0,
393,kurta,399.0,
394,Set,696.0,
395,Set,1112.0,
396,kurta,517.0,
397,Set,888.0,
398,Set,1463.0,
399,kurta,399.0,
400,kurta,442.0,
401,Set,1149.0,
402,Ethnic Dress,845.0,
403,Set,788.0,
404,Western Dress,734.29,
405,Set,788.0,
406,Set,654.0,
407,kurta,518.0,
408,Set,626.0,
409,kurta,534.0,
410,kurta,475.0,
411,kurta,549.0,
412,kurta,518.0,
413,Western Dress,,
414,Western Dress,725.0,
415,kurta,437.14,
416,Set,1499.0,
417,kurta,363.0,
418,kurta,399.0,
419,kurta,487.0,
420,Set,824.0,
421,kurta,353.0,
422,Top,487.0,
423,Set,597.0,
424,Set,654.0,
425,Set,597.0,
426,kurta,363.0,
427,kurta,471.0,
428,kurta,,
429,Western Dress,744.0,
430,kurta,399.0,
431,kurta,568.0,
432,Set,835.0,
433,kurta,568.0,
434,Western Dress,899.0,
435,kurta,406.0,
436,Set,0.0,
437,Set,570.48,
438,kurta,399.0,
439,Set,789.0,
440,Saree,620.0,
441,Set,0.0,
442,Set,631.0,
443,kurta,499.0,
444,Western Dress,807.0,
445,Set,666.0,
446,Set,0.0,
447,kurta,329.0,
448,kurta,,
449,Set,0.0,
450,kurta,399.0,
451,kurta,399.0,
452,kurta,487.0,
453,Set,1033.0,
454,Top,625.0,
455,Top,432.0,
456,kurta,,
457,Set,1115.0,
458,kurta,511.0,
459,Set,599.0,
460,Top,545.0,
461,kurta,353.0,
462,Set,563.0,
463,Top,487.0,
464,kurta,352.0,
465,kurta,376.0,
466,Top,599.0,
467,Blouse,329.0,
468,Set,1133.0,
469,Set,684.0,
470,Set,,
471,kurta,435.0,
472,kurta,399.0,
473,kurta,399.0,
474,kurta,399.0,
475,Set,788.0,
476,kurta,549.0,
477,Set,654.0,
478,kurta,399.0,
479,Set,599.0,
480,Set,874.0,
481,kurta,533.0,
482,kurta,399.0,
483,Western Dress,744.0,
484,kurta,499.0,
485,kurta,399.0,
486,kurta,376.0,
487,kurta,486.0,
488,kurta,399.0,
489,kurta,,
490,kurta,424.0,
491,kurta,362.0,
492,Top,599.0,
493,Set,597.0,
494,Top,487.0,
495,Set,563.0,
496,kurta,487.0,
497,Set,1099.0,
498,Set,654.0,
499,kurta,329.0,
500,Western Dress,,
501,Set,1186.0,
502,Western Dress,588.0,
503,kurta,,
504,kurta,329.0,
505,kurta,259.0,
506,kurta,487.0,
507,Set,549.0,
508,Set,626.0,
509,kurta,,
510,kurta,570.48,
511,kurta,319.0,
512,Top,518.0,
513,Ethnic Dress,899.0,
514,Western Dress,807.0,
515,Top,463.0,
516,Set,653.0,
517,Set,1140.0,
518,kurta,,
519,Set,1260.0,
520,Set,909.0,
521,kurta,,
522,Set,968.0,
523,Set,788.0,
524,Western Dress,771.0,
525,kurta,399.0,
526,Set,888.0,
527,Set,1221.0,
528,kurta,399.0,
529,kurta,471.0,
530,Set,545.0,
531,Set,968.0,
532,kurta,499.0,
533,kurta,399.0,
534,kurta,399.0,
535,Set,,
536,kurta,471.0,
537,kurta,386.67,
538,kurta,452.38,
539,Set,1112.0,
540,Set,,
541,Set,1338.0,
542,kurta,517.0,
543,kurta,329.0,
544,Western Dress,725.0,
545,kurta,363.0,
546,Set,666.0,
547,Set,,
548,Western Dress,588.0,
549,Set,449.0,
550,Set,696.0,
551,kurta,459.0,
552,Top,625.0,
553,Set,654.0,
554,kurta,399.0,
555,Set,595.0,
556,Set,597.0,
557,Set,582.0,
558,Set,612.0,
559,Set,654.0,
560,Top,518.0,
561,Set,820.0,
562,Set,801.0,
563,kurta,,
564,kurta,399.0,
565,Top,540.0,
566,Set,1338.0,
567,Top,540.0,
568,Top,625.0,
569,kurta,364.0,
570,kurta,429.0,
571,Western Dress,899.0,
572,Set,,
573,Set,1126.0,
574,Set,788.0,
575,Top,432.0,
576,kurta,376.0,
577,Western Dress,725.0,
578,Western Dress,744.0,
579,Western Dress,825.0,
580,kurta,399.0,
581,Set,1213.0,
582,Set,680.0,
583,kurta,568.0,
584,Set,939.0,
585,Top,279.0,
586,kurta,487.0,
587,kurta,458.0,
588,kurta,692.0,
589,Top,469.0,
590,kurta,399.0,
591,Set,599.0,
592,Set,680.0,
593,Set,,
594,Saree,989.0,
595,Set,1099.0,
596,Western Dress,588.0,
597,Set,999.0,
598,kurta,487.0,
599,Set,653.0,
600,Set,496.0,
601,kurta,319.0,
602,Set,,
603,Set,1112.0,
604,kurta,517.0,
605,Set,597.0,
606,Set,1099.0,
607,kurta,375.0,
608,kurta,517.0,
609,Set,692.0,
610,kurta,486.0,
611,Set,696.0,
612,Set,1115.0,
613,Set,597.0,
614,Set,1115.0,
615,kurta,329.0,
616,kurta,318.0,
617,kurta,499.0,
618,Set,597.0,
619,kurta,487.0,
620,kurta,363.0,
621,kurta,459.0,
622,kurta,486.0,
623,kurta,568.0,
624,kurta,562.0,
625,Set,995.0,
626,Set,1112.0,
627,Set,635.0,
628,kurta,399.0,
629,kurta,363.0,
630,Set,,
631,kurta,,
632,kurta,,
633,Set,,
634,kurta,458.0,
635,Set,597.0,
636,Set,597.0,
637,kurta,1249.0,
638,Set,801.0,
639,kurta,,
640,kurta,393.0,
641,Western Dress,744.0,
642,Top,540.0,
643,Set,696.0,
644,Top,512.0,
645,Set,922.0,
646,Set,818.0,
647,Set,2224.0,
648,Set,1112.0,
649,Set,792.0,
650,Set,824.0,
651,kurta,358.1,
652,Set,,
653,Set,759.0,
654,Western Dress,744.0,
655,Set,1140.0,
656,Western Dress,625.0,
657,Top,518.0,
658,Set,759.0,
659,Western Dress,744.0,
660,Set,1112.0,
661,Set,1140.0,
662,kurta,486.0,
663,Set,888.0,
664,Set,666.0,
665,kurta,487.0,
666,Set,597.0,
667,kurta,363.0,
668,Top,512.0,
669,Western Dress,377.0,
670,Western Dress,377.0,
671,Set,,
672,kurta,,
673,Set,967.0,
674,Set,788.0,
675,Set,,
676,Set,1058.93,
677,Set,1249.11,
678,Set,597.0,
679,Set,1112.0,
680,kurta,700.96,
681,Set,1213.0,
682,kurta,517.0,
683,Set,662.0,
684,kurta,568.0,
685,kurta,476.0,
686,kurta,316.0,
687,kurta,486.0,
688,kurta,517.0,
689,Set,1186.0,
690,kurta,376.0,
691,Top,,
692,Set,715.0,
693,Set,1065.0,
694,Western Dress,744.0,
695,kurta,399.0,
696,Set,1099.0,
697,Western Dress,744.0,
698,kurta,329.0,
699,kurta,362.0,
700,kurta,342.0,
701,kurta,363.0,
702,kurta,459.0,
703,Set,888.0,
704,kurta,376.0,
705,Set,599.0,
706,Set,916.0,
707,kurta,329.0,
708,kurta,,
709,Set,626.0,
710,Western Dress,725.0,
711,kurta,,
712,Set,1112.0,
713,Set,,
714,kurta,329.0,
715,Top,487.0,
716,Set,801.0,
717,kurta,352.0,
718,kurta,442.0,
719,kurta,280.95,
720,kurta,283.0,
721,Set,654.0,
722,kurta,399.0,
723,Blouse,419.0,
724,Set,654.0,
725,Western Dress,744.0,
726,kurta,399.0,
727,kurta,452.0,
728,kurta,499.0,
729,Blouse,0.0,
730,kurta,471.0,
731,kurta,0.0,
732,kurta,431.0,
733,kurta,511.0,
734,Set,1463.0,
735,kurta,517.0,
736,kurta,399.0,
737,kurta,,
738,kurta,399.0,
739,Set,788.0,
740,Top,493.33,
741,Set,597.0,
742,Set,666.0,
743,Set,1112.0,
744,Set,696.0,
745,Set,499.0,
746,kurta,414.0,
747,Set,1099.0,
748,Set,,
749,Set,653.0,
750,kurta,352.0,
751,Western Dress,744.0,
752,kurta,399.0,
753,Set,1438.0,
754,Set,1173.0,
755,kurta,459.0,
756,Set,922.0,
757,Set,653.0,
758,kurta,363.0,
759,kurta,499.0,
760,kurta,486.0,
761,kurta,692.0,
762,kurta,295.0,
763,kurta,363.0,
764,kurta,399.0,
765,Set,950.0,
766,kurta,399.0,
767,Western Dress,625.0,
768,Set,1115.0,
769,kurta,666.0,
770,Set,,
771,Set,696.0,
772,Top,519.0,
773,Set,1199.0,
774,Set,563.0,
775,kurta,399.0,
776,kurta,487.0,
777,kurta,568.0,
778,kurta,399.0,
779,kurta,291.0,
780,Western Dress,744.0,
781,Set,696.0,
782,Top,463.0,
783,Top,469.52,
784,Top,339.0,
785,Set,680.0,
786,Set,759.0,
787,Set,626.0,
788,kurta,399.0,
789,Top,599.0,
790,kurta,399.0,
791,Set,599.0,
792,kurta,291.0,
793,kurta,276.0,
794,Set,626.0,
795,kurta,283.0,
796,Western Dress,725.0,
797,kurta,295.0,
798,kurta,518.0,
799,kurta,399.0,
800,Set,852.0,
801,Set,568.0,
802,Western Dress,771.0,
803,Set,1669.0,
804,Top,540.0,
805,Set,1112.0,
806,kurta,518.0,
807,Set,1115.0,
808,Set,1112.0,
809,kurta,399.0,
810,kurta,476.0,
811,kurta,499.0,
812,Top,518.0,
813,kurta,486.0,
814,kurta,399.0,
815,Set,1260.0,
816,Top,399.0,
817,Set,852.0,
818,kurta,,
819,kurta,487.0,
820,Set,,
821,Western Dress,413.0,
822,Set,788.0,
823,Set,1186.0,
824,Top,396.0,
825,kurta,659.05,
826,Set,653.0,
827,kurta,0.0,
828,kurta,458.0,
829,kurta,487.0,
830,Set,597.0,
831,Set,761.0,
832,Set,835.0,
833,Top,518.0,
834,kurta,,
835,Western Dress,721.0,
836,kurta,458.0,
837,Set,666.0,
838,kurta,399.0,
839,Set,1099.0,
840,kurta,353.0,
841,kurta,399.0,
842,kurta,534.0,
843,Set,981.25,
844,kurta,0.0,
845,Set,657.0,
846,Set,626.0,
847,Set,981.25,
848,Western Dress,899.0,
849,Set,,
850,Set,597.0,
851,Set,1099.0,
852,Set,788.0,
853,kurta,459.0,
854,Set,1186.0,
855,Set,626.0,
856,Western Dress,,
857,kurta,,
858,kurta,329.0,
859,kurta,280.0,
860,kurta,249.0,
861,Set,818.0,
862,kurta,429.0,
863,kurta,458.0,
864,Western Dress,,
865,kurta,475.0,
866,Set,788.0,
867,Western Dress,744.0,
868,kurta,458.0,
869,kurta,505.0,
870,Set,1186.0,
871,Set,597.0,
872,Top,463.0,
873,kurta,471.0,
874,Set,626.0,
875,kurta,399.0,
876,Set,788.0,
877,Top,751.0,
878,kurta,368.0,
879,Western Dress,744.0,
880,kurta,399.0,
881,kurta,475.0,
882,kurta,475.0,
883,kurta,521.0,
884,Western Dress,721.0,
885,Set,788.0,
886,kurta,486.0,
887,Set,597.0,
888,Western Dress,744.0,
889,Set,939.0,
890,kurta,517.0,
891,Western Dress,744.0,
892,kurta,,
893,kurta,533.0,
894,Set,563.0,
895,kurta,549.0,
896,Set,626.0,
897,Set,1099.0,
898,Western Dress,,
899,Set,696.0,
900,Set,1432.0,
901,kurta,432.0,
902,Set,1338.0,
903,Set,597.0,
904,Set,888.0,
905,Set,1033.0,
906,kurta,376.0,
907,Western Dress,885.0,
908,kurta,635.0,
909,Set,597.0,
910,kurta,563.0,
911,kurta,499.0,
912,kurta,549.0,
913,kurta,549.0,
914,kurta,452.0,
915,kurta,449.0,
916,kurta,685.0,
917,Top,391.0,
918,kurta,399.0,
919,Set,597.0,
920,kurta,249.0,
921,Set,1099.0,
922,Set,1099.0,
923,kurta,499.0,
924,Western Dress,744.0,
925,kurta,399.05,
926,kurta,463.81,
927,kurta,432.0,
928,Top,463.0,
929,Top,,
930,kurta,0.0,
931,Western Dress,,
932,Western Dress,665.0,
933,Set,563.0,
934,kurta,399.0,
935,Set,968.0,
936,kurta,474.0,
937,Blouse,,
938,kurta,659.05,
939,Top,413.0,
940,kurta,495.0,
941,kurta,459.0,
942,kurta,486.0,
943,Set,1238.0,
944,Set,801.0,
945,kurta,527.0,
946,Top,493.0,
947,kurta,0.0,
948,kurta,280.95,
949,Set,788.0,
950,Set,626.0,
951,kurta,376.0,
952,kurta,471.0,
953,kurta,399.0,
954,kurta,452.38,
955,Set,1432.0,
956,Set,,
957,Western Dress,725.0,
958,kurta,499.0,
959,kurta,471.0,
960,kurta,,
961,Set,449.0,
962,Set,684.0,
963,Top,545.0,
964,Top,545.0,
965,Blouse,419.0,
966,kurta,,
967,Set,696.0,
968,Top,,
969,Set,,
970,kurta,399.0,
971,Set,613.0,
972,Set,654.0,
973,Top,487.0,
974,Western Dress,744.0,
975,kurta,499.0,
976,kurta,499.0,
977,kurta,406.0,
978,Set,737.0,
979,Set,648.0,
980,Ethnic Dress,783.0,
981,Western Dress,744.0,
982,Western Dress,744.0,
983,Set,653.0,
984,Set,788.0,
985,Set,1221.0,
986,Set,0.0,
987,Set,1112.0,
988,Set,1186.0,
989,kurta,362.0,
990,kurta,432.0,
991,Set,597.0,
992,Set,654.0,
993,Top,518.0,
994,Set,626.0,
995,Set,761.0,
996,Set,1186.0,
997,Set,1186.0,
998,Set,1213.0,
999,Set,922.0,
1000,kurta,399.0,
1001,Top,493.0,
1002,Set,951.43,
1003,Set,653.0,
1004,Set,820.0,
1005,kurta,329.0,
1006,kurta,685.0,
1007,kurta,499.0,
1008,Set,788.0,
1009,Set,,
1010,Western Dress,,
1011,Blouse,460.0,
1012,kurta,,
1013,Set,1388.0,
1014,Western Dress,791.0,
1015,Set,,
1016,kurta,459.0,
1017,Set,852.0,
1018,Set,1518.0,
1019,Set,599.0,
1020,Set,597.0,
1021,Top,599.0,
1022,Set,820.0,
1023,Set,696.0,
1024,Ethnic Dress,845.0,
1025,kurta,,
1026,kurta,,
1027,Set,597.0,
1028,Set,684.0,
1029,kurta,685.0,
1030,Set,1115.0,
1031,Set,1146.0,
1032,kurta,487.0,
1033,kurta,329.0,
1034,Western Dress,,
1035,kurta,329.0,
1036,Set,759.0,
1037,Western Dress,744.0,
1038,kurta,329.0,
1039,Western Dress,744.0,
1040,kurta,517.0,
1041,Set,1092.0,
1042,Set,549.0,
1043,Top,625.0,
1044,Top,512.0,
1045,kurta,329.0,
1046,kurta,329.0,
1047,kurta,399.0,
1048,kurta,376.0,
1049,kurta,399.0,
1050,Set,,
1051,Set,722.86,
1052,Set,654.0,
1053,kurta,329.0,
1054,kurta,471.0,
1055,Set,1126.0,
1056,Set,824.0,
1057,Set,,
1058,Set,654.0,
1059,kurta,568.0,
1060,kurta,376.0,
1061,Set,696.0,
1062,Western Dress,699.0,
1063,kurta,534.0,
1064,Set,654.0,
1065,Top,599.0,
1066,Western Dress,807.0,
1067,kurta,406.0,
1068,Western Dress,744.0,
1069,kurta,437.14,
1070,Western Dress,665.0,
1071,Western Dress,0.0,
1072,Set,824.0,
1073,kurta,424.0,
1074,kurta,505.0,
1075,Set,586.0,
1076,kurta,635.0,
1077,Set,1186.0,
1078,kurta,318.0,
1079,Set,696.0,
1080,Set,1199.0,
1081,kurta,459.0,
1082,kurta,487.0,
1083,Set,1112.0,
1084,kurta,353.0,
1085,kurta,399.0,
1086,kurta,517.0,
1087,kurta,406.0,
1088,kurta,568.0,
1089,Set,1099.0,
1090,Set,820.0,
1091,Set,654.0,
1092,Western Dress,744.0,
1093,Set,582.0,
1094,kurta,368.0,
1095,Set,597.0,
1096,Top,329.0,
1097,Set,888.0,
1098,kurta,517.0,
1099,Top,574.0,
1100,Top,399.0,
1101,kurta,635.0,
1102,Set,653.0,
1103,Set,597.0,
1104,kurta,0.0,
1105,Top,493.0,
1106,Top,,
1107,kurta,568.0,
1108,kurta,399.0,
1109,kurta,544.0,
1110,Set,1221.0,
1111,kurta,368.0,
1112,Western Dress,,
1113,Top,540.0,
1114,Set,759.0,
1115,kurta,0.0,
1116,Set,1115.0,
1117,Set,,
1118,kurta,429.0,
1119,Set,1186.0,
1120,kurta,,
1121,Set,1221.0,
1122,Set,967.0,
1123,Set,1112.0,
1124,kurta,375.0,
1125,Set,597.0,
1126,Set,597.0,
1127,kurta,435.0,
1128,Set,788.0,
1129,Set,1149.0,
1130,Set,1112.0,
1131,kurta,685.0,
1132,Set,759.0,
1133,Set,582.0,
1134,kurta,280.0,
1135,Set,922.0,
1136,Top,432.0,
1137,kurta,458.0,
1138,Set,722.86,
1139,kurta,376.0,
1140,kurta,329.0,
1141,Set,1115.0,
1142,kurta,368.0,
1143,kurta,568.0,
1144,Set,788.0,
1145,kurta,311.0,
1146,Set,478.0,
1147,kurta,376.0,
1148,Set,1432.0,
1149,kurta,499.0,
1150,Set,1186.0,
1151,kurta,471.0,
1152,Set,788.0,
1153,kurta,399.0,
1154,kurta,499.0,
1155,kurta,487.0,
1156,kurta,368.0,
1157,Set,1099.0,
1158,Set,,
1159,Set,824.0,
1160,kurta,458.0,
1161,kurta,,
1162,kurta,329.0,
1163,kurta,376.0,
1164,Set,491.43,
1165,kurta,399.0,
1166,kurta,459.0,
1167,Set,1112.0,
1168,Set,759.0,
1169,Set,613.0,
1170,Set,684.0,
1171,Top,487.0,
1172,Set,653.0,
1173,kurta,362.0,
1174,Set,696.0,
1175,Top,,
1176,kurta,399.0,
1177,Set,692.0,
1178,kurta,568.0,
1179,Set,824.0,
1180,Set,788.0,
1181,Set,,
1182,kurta,376.0,
1183,Top,487.0,
1184,kurta,300.95,
1185,kurta,266.67,
1186,Set,925.0,
1187,kurta,635.0,
1188,kurta,259.0,
1189,Set,,
1190,kurta,432.0,
1191,Set,449.0,
1192,Western Dress,566.0,
1193,Western Dress,885.0,
1194,Western Dress,721.0,
1195,Set,888.0,
1196,Set,599.0,
1197,Set,833.0,
1198,kurta,499.0,
1199,kurta,399.0,
1200,Set,737.0,
1201,Set,1112.0,
1202,Set,999.0,
1203,kurta,399.0,
1204,kurta,375.0,
1205,kurta,375.0,
1206,Western Dress,625.0,
1207,kurta,,
1208,Set,626.0,
1209,Set,788.0,
1210,kurta,435.0,
1211,Western Dress,825.0,
1212,kurta,549.0,
1213,Western Dress,771.0,
1214,Set,1186.0,
1215,Western Dress,690.0,
1216,Set,,
1217,Set,759.0,
1218,Set,635.0,
1219,Set,1199.0,
1220,Set,597.0,
1221,Western Dress,744.0,
1222,Top,540.0,
1223,kurta,,
1224,Western Dress,744.0,
1225,Set,523.0,
1226,kurta,0.0,
1227,Top,588.0,
1228,kurta,376.0,
1229,Top,545.0,
1230,Set,631.0,
1231,Set,759.0,
1232,kurta,399.0,
1233,Western Dress,472.0,
1234,Set,,
1235,Set,1099.0,
1236,kurta,376.0,
1237,kurta,399.0,
1238,Top,518.0,
1239,kurta,,
1240,Western Dress,885.0,
1241,Set,1388.0,
1242,Set,909.0,
1243,Set,1299.0,
1244,kurta,316.0,
1245,Western Dress,744.0,
1246,kurta,487.0,
1247,Top,,
1248,Set,635.0,
1249,Set,751.0,
1250,kurta,,
1251,Set,824.0,
1252,kurta,495.0,
1253,Set,654.0,
1254,kurta,0.0,
1255,Top,599.0,
1256,Top,523.0,
1257,Top,625.0,
1258,Set,736.0,
1259,kurta,0.0,
1260,kurta,499.0,
1261,kurta,487.0,
1262,kurta,579.0,
1263,Set,,
1264,kurta,531.0,
1265,Western Dress,825.0,
1266,Set,680.0,
1267,kurta,291.0,
1268,Top,625.0,
1269,Set,715.0,
1270,kurta,725.0,
1271,Western Dress,825.0,
1272,kurta,311.0,
1273,Set,792.0,
1274,Set,,
1275,kurta,399.0,
1276,kurta,487.0,
1277,Set,666.0,
1278,Set,654.0,
1279,Set,1213.0,
1280,Set,563.0,
1281,kurta,0.0,
1282,Western Dress,,
1283,kurta,,
1284,kurta,690.48,
1285,kurta,329.0,
1286,kurta,533.0,
1287,kurta,,
1288,kurta,452.0,
1289,Set,1115.0,
